a 可
beiu 欢
besj 𭕠
bf 劲
bfd 颈
bfdk 颈
bffi 𭕕
bffr 𭕸
bfg 癸
bfgc 鄈
bfgd 癸
bfgg 戣
bfim ⺔
bfl 登
bflc 鄧
bflh 𭽄
bflp 邆
bflq 凳
bflq 𭀭
bflu 登
bflw 𭽃
bfm 刭
bfmd 刭
bfoq 巯
bfpd 迳
bfr 屍
bfrr 屍
bfuy 𭞊
bfvh 杘
bfxk 劲
bg 戏
bgb 轡
bgbl 轡
bgbu 𮝲
bggu 戏
bgpd 𭃢
bh 圣
bha 慰
bhac 尉
bhak 螱
bhak 𭲐
bhar 褽
bhau 熨
bhaw 犚
bhay 慰
bhbu 叞
bhcy 𭕚
bhdm 頚
bhfv 屟
bhgg 𭟷
bhgu 癷
bhh 尸
bhhb 尸
bhhh ⼫
bhi 屉
bhih 屉
bhj 屠
bhjr 屠
bhjr 屠
bhk 屋
bhkh 屋
bhlv 𭃕
bhlv 𭕭
bhmd 剭
bhnv 𮛿
bhtu 圣
bhx 屆
bhxg 屆
bi 已
bidh 𭕵
bii 已
biib 已
bj 己
bjfa 𭕶
bjj 己
bjjb 己
bjjj ⼰
bjrr 𭃫
bjth 屇
bjtt 𭛑
bk 观
bkbh 屃
bkbu 𭰇
bkch 𭕛
bkfh 𭕔
bkm 屬
bkmb 𭄄
bkmd 剝
bkme 斸
bkmk 屬
bkmm 劚
bkmn 盝
bkmo 𭃑
bko 届
bkoh 届
bkor 𮖎
bkpd 逯
bksu 𭆦
bktt 𭃘
bkv 尿
bkvh 尿
bkvm 彔
bkw 犀
bkwn 犀
bkwp 遲
bkwy 繝
bkxu 观
bl 避
blc 邵
blcb 綤
blcj 邵
blck 巶
bldc 屢
bldw 𮦻
blei 欩
blia 𮝻
blih 屝
blm 屌
blmd 刟
blmv 屌
blo 臂
bloa 甓
blob 劈
blob 繴
bloc 嬖
blod 礕
blof 檗
bloh 壁
blom 幦
blon 躄
bloo 璧
blop 避
blop 糪
blor 襞
blot 擘
blou 譬
blov 孹
blow 臂
blow 鐾
blox 辟
bloy 憵
blp 迢
blpd 迢
blri 𭇌
bltb 𭇱
blue 𭛏
blv 召
blvd 召
blx 劭
blxj 卲
blxk 劭
bm 母
bmbm 𮚰
bmc 郿
bmcj 郿
bmcj 𮟿
bmf 眉
bmfh 眉
bmfh 𭕘
bmm 母
bmmb 母
bmmd 刷
bmmm 屭
bmmm 彑
bmmm 𮚯
bmmm ⺟
bmmv 𭕼
bmro 鶥
bmsr 𭿰
bmw 屑
bmwy 屑
bmxu 覌
bmy 鹛
bmya 鹛
bnbb 𮨘
bnbn 𬻈
bnbu 叏
bngg 𭆭
bniu 𭆨
bnln 𮧰
bnoo 𬻘
bnud 圅
bo 尽
bobn 歰
bod 尺
bodd 刃
bodd 刄
bodh 尺
bodl 縖
bodu 叉
bofi 丒
bogm 屪
boht 𭕢
boj 昼
bojf 昼
bojr 𭥜
bok 蚤
bokc 蚤
bokc 𮓵
bol 咫
bolt 咫
bomd 𭃅
bomd 𭃆
bonn 𭃷
book 蚤
bop 迟
bopd 迟
bopd 遟
bory 袰
bosi 尽
bost 𭃎
botw 𭃠
boxh 屖
boy 忍
boyi 忍
bp 屡
bpb 彝
bpbs 彝
bpcn 屡
bpdd 辺
bpdh 迉
bpm 屎
bpmh 屎
bpmn 𭾎
bpmu 𭽀
bpts 彜
bpug 𭕬
bpwd 𭃉
bpxh 屄
bq 属
bqgl 𭂶
bqhh 屛
bqhu 癹
bqjh 凥
bqjv 𭕩
bqkk 属
bqsa 𭕯
br 尼
brac 屗
brac 𮠎
brcy 𭕗
brcy 𭕟
brd 屐
brdb 屐
brdk 𭕫
breb 𭶵
breg 𭕱
brel 𭕨
brh 屜
brhf 屧
brhi 屜
brih 尼
brlc 屨
brlr 𭉖
brm 尾
brmb 𭕞
brmh 尾
brn 屣
brnh 𭕜
brnn 屣
bror 𭕧
brou 鳮
brov 𭯢
brp 屦
brpc 屦
brpd 迡
brq 履
brqe 履
brqr 彘
brr 屁
brri 屁
bruj 𭕺
brvk 屘
brwi 𮥻
bryr 𭕳
bs 展
bsb 遐
bsbb 叚
bsbo 𭕖
bsbp 遐
bsbx 𬻷
bsgb 𭮺
bsgf 展
bsiu 𬺹
bsjj 异
bsjq 𭻋
bslb 𭮭
bsle 𭄝
bsnh 屒
bsnh 𭆩
bso 毋
bsom 毋
bsqr 発
bss 糸
bssb 糸
bssd 𭕝
bssd 𭕰
bst 殿
bsta 𭕡
bstg 𮡆
bsth 壂
bsti 𮈃
bstq 殿
bsts 𮝿
bstt 臋
bstw 臀
bsv 层
bsvv 层
bt 通
btam 𭺻
bte 夬
bteu 夬
btfy 𭃮
btid 刅
btkd 𭃙
btmd 刔
btn 甬
btnh 𭺸
btnu 甬
btoy 𭃮
btpd 通
btsk 𭃈
btvj 𭺹
btx 勇
btxk 勇
btxk 勈
btxk 勇
bty 恿
btyi 恿
bu 又
bubv 𭓝
buj 層
bujj 層
bujj 繒
bupd 遅
bupd 𮞵
bus 屏
busj 屏
